gen_no,avg_cost,min_cost,max_cost,time
0,38518.96,27903,45515,15.161514282226562
1,33967.28,27513,41576,89.15948867797852
2,29451.66,26006,37683,204.7293186187744
3,28193.52,26006,36056,290.55166244506836
4,26868.28,22834,35660,374.55105781555176
5,25968.28,22036,31291,471.55213356018066
6,24194.48,21361,35881,563.5528564453125
7,22402.94,21361,28032,682.2926998138428
8,22693.54,21361,35440,781.2855243682861
9,22934.06,21361,29388,889.0335559844971
10,22152.82,19906,33503,964.3218517303467
11,22449.62,19906,30549,1069.901704788208
12,21549.96,19906,31938,1159.904956817627
13,21818.46,18986,31267,1247.9820251464844
14,20651.9,18986,28528,1344.6135520935059
15,20758.08,18986,31076,1469.4933891296387
16,20888.34,18986,36734,1565.2930736541748
17,20734.68,18168,31566,1648.1635570526123
18,20797.06,18168,32536,1743.3385848999023
19,19034.54,17497,26226,1831.392526626587
20,19020.08,17497,28779,1927.6981353759766
21,18434.08,17402,33530,2008.7049007415771
22,19002.14,17402,29120,2123.7049102783203
23,18226.24,17402,28559,2261.6841793060303
24,18906.22,17402,31384,2362.560749053955
25,19110.76,17402,27900,2479.297637939453
26,18606.62,17402,30577,2563.2967948913574
27,19068.48,17337,34541,2663.088321685791
28,19654.0,17177,32603,2787.781238555908
29,18981.36,17177,27614,2895.8442211151123
30,18343.32,17112,26000,3070.03116607666
31,19147.46,17112,33484,3196.0339546203613
32,19016.3,16342,33894,3299.1976737976074
33,17970.9,16342,25504,3394.1948413848877
34,17772.86,16342,28978,3507.199287414551
35,17819.66,16342,29724,3597.2049236297607
36,18121.24,16342,27447,3702.194929122925
37,17002.5,16342,23947,3837.815523147583
38,17229.34,16315,26529,3919.8122024536133
39,18289.68,16315,31183,4034.8119735717773
40,17467.92,16025,30736,4111.331462860107
41,18094.1,16025,30541,4203.331232070923
42,17801.16,16025,29120,4295.021295547485
43,16824.02,16025,25580,4377.669095993042
44,18070.06,16025,31735,4478.401184082031
45,18229.86,16025,28997,4611.103773117065
46,17289.94,16025,27051,4695.2149868011475
47,16618.84,15895,22702,4795.15266418457
48,17107.06,15895,23481,4892.238140106201
49,17224.42,15895,26693,4970.238208770752
50,17105.08,15895,31367,5076.923847198486
51,16702.46,15895,28987,5188.467741012573
52,17284.28,15895,28903,5321.701288223267
53,17156.24,15835,31836,5410.2184772491455
54,17073.12,15835,26118,5523.862361907959
55,17143.18,15835,28537,5621.906280517578
56,17197.86,15835,28797,5719.904661178589
57,17428.96,15535,27424,5815.195322036743
58,17141.66,15535,26950,5913.196086883545
59,16893.96,15535,26333,6020.241260528564
60,16933.66,15535,26409,6155.238151550293
61,17540.74,15535,30118,6252.724170684814
62,17441.0,15535,30993,6349.210262298584
63,18359.6,15535,35108,6464.211940765381
64,18041.58,15535,27963,6576.411008834839
65,17343.84,15535,27300,6676.0923862457275
66,17343.92,15535,28253,6759.532690048218
67,17201.14,15535,34100,6889.420509338379
68,16497.3,15535,30651,6984.8620891571045
69,16923.2,15075,32218,7144.170522689819
70,17308.78,15075,28080,7257.848739624023
71,16172.46,15075,22961,7341.875314712524
72,16339.94,15075,25791,7430.733680725098
73,16588.12,15075,29733,7524.061441421509
74,16808.72,15075,26780,7655.979871749878
75,15888.5,15075,21691,7748.404026031494
76,15903.54,15075,26087,7841.456890106201
77,16226.0,15075,22769,7961.285352706909
78,16446.36,14760,26167,8072.2832679748535
79,15657.82,14720,22105,8173.288106918335
80,16468.12,14720,31225,8275.289058685303
81,15492.94,14720,21668,8374.89652633667
82,16839.36,14720,25818,8505.683183670044
83,16467.02,14720,24598,8606.985569000244
84,16162.28,14720,25840,8723.302602767944
85,15969.98,14720,22700,8824.953317642212
86,15996.76,14720,29179,8923.418283462524
87,16046.36,14720,23480,9038.384199142456
88,16586.54,14720,29959,9155.508756637573
89,16215.3,14720,27858,9270.689249038696
90,16116.26,14720,24525,9373.356342315674
91,16126.62,14720,26015,9473.16026687622
92,15789.62,14720,27730,9573.119401931763
93,15781.5,14720,25709,9684.950590133667
94,15755.32,14720,28372,9788.609743118286
95,16330.12,14720,28330,9907.334327697754
96,16364.02,14720,29487,10017.964601516724
97,17096.18,14720,30071,10123.645305633545
98,16404.5,14720,29073,10239.757776260376
99,15641.26,14720,20270,10353.342294692993
