model,n_splits,test_size,max_features,worst_score,best_score,fatures_after_selection
SVC(),4,0.3,5000,0.6276939655172413,0.6363146551724138,1000
SVC(kernel='linear'),4,0.3,5000,0.5818965517241379,0.5975215517241379,1000
SVC(kernel='poly'),4,0.3,5000,0.3642241379310345,0.3706896551724138,1000
SVC(kernel='sigmoid'),4,0.3,5000,0.5716594827586207,0.5851293103448276,1000
