model,n_splits,test_size,max_features,worst_score,best_score,fatures_after_selection,max_df
MultinomialNB(alpha=10),10,0.1,1000,0.6581986143187067,0.7043879907621247,2000,0.3
MultinomialNB(alpha=10),10,0.1,1000,0.6581986143187067,0.7043879907621247,2000,0.4
MultinomialNB(alpha=10),10,0.1,1000,0.651270207852194,0.7066974595842956,2000,0.5
MultinomialNB(alpha=10),10,0.1,1000,0.651270207852194,0.7066974595842956,2000,0.6
MultinomialNB(alpha=10),10,0.1,1000,0.648960739030023,0.7066974595842956,2000,0.7
MultinomialNB(alpha=10),10,0.1,1000,0.648960739030023,0.7066974595842956,2000,0.8
MultinomialNB(alpha=10),10,0.1,1000,0.648960739030023,0.7066974595842956,2000,0.9
